scenario,distribution,sample_size,data_type,id,replicate,obs_type,error
fast decay,long,200,exponential,120,12,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,121,13,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,122,14,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,123,15,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,124,16,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,125,17,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,126,18,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,127,19,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,long,200,exponential,128,20,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,129,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,130,2,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,131,3,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,132,4,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,133,5,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,134,6,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,135,7,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,136,8,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,137,9,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,138,10,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,139,11,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,140,12,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,141,13,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,142,14,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,143,15,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,144,16,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,145,17,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,146,18,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,147,19,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,medium,200,exponential,148,20,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,short,200,exponential,149,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,short,200,exponential,150,2,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,short,200,exponential,151,3,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,short,200,exponential,152,4,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,short,200,exponential,153,5,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,short,200,exponential,154,6,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,short,200,exponential,155,7,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,short,200,exponential,156,8,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,short,200,exponential,157,9,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,short,200,exponential,158,10,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,short,200,exponential,159,11,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,short,200,exponential,160,12,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,short,200,exponential,161,13,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,short,200,exponential,162,14,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,short,200,exponential,163,15,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,short,200,exponential,164,16,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,short,200,exponential,165,17,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,short,200,exponential,166,18,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,short,200,exponential,167,19,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast decay,short,200,exponential,168,20,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,long,200,exponential,169,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,long,200,exponential,170,2,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,long,200,exponential,171,3,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,long,200,exponential,172,4,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,long,200,exponential,173,5,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,long,200,exponential,174,6,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,long,200,exponential,175,7,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,long,200,exponential,176,8,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,long,200,exponential,177,9,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,long,200,exponential,178,10,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,long,200,exponential,179,11,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,long,200,exponential,180,12,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,long,200,exponential,181,13,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,long,200,exponential,182,14,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,long,200,exponential,183,15,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,long,200,exponential,184,16,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,long,200,exponential,185,17,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,long,200,exponential,186,18,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,long,200,exponential,187,19,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,long,200,exponential,188,20,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,medium,200,exponential,189,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,medium,200,exponential,190,2,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,medium,200,exponential,191,3,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,medium,200,exponential,192,4,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,medium,200,exponential,193,5,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,medium,200,exponential,194,6,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,medium,200,exponential,195,7,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,medium,200,exponential,196,8,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,medium,200,exponential,197,9,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,medium,200,exponential,198,10,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,medium,200,exponential,199,11,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,medium,200,exponential,200,12,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,medium,200,exponential,201,13,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,medium,200,exponential,202,14,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,medium,200,exponential,203,15,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,medium,200,exponential,204,16,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,medium,200,exponential,205,17,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,medium,200,exponential,206,18,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,medium,200,exponential,207,19,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,medium,200,exponential,208,20,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,short,200,exponential,209,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,short,200,exponential,210,2,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,short,200,exponential,211,3,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,short,200,exponential,212,4,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,short,200,exponential,213,5,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,short,200,exponential,214,6,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,short,200,exponential,215,7,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,short,200,exponential,216,8,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,short,200,exponential,217,9,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,short,200,exponential,218,10,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,short,200,exponential,219,11,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,short,200,exponential,220,12,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,short,200,exponential,221,13,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,short,200,exponential,222,14,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,short,200,exponential,223,15,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,short,200,exponential,224,16,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,short,200,exponential,225,17,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,short,200,exponential,226,18,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,short,200,exponential,227,19,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
fast growth,short,200,exponential,228,20,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
growth,long,200,exponential,229,1,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
growth,long,200,exponential,230,2,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
growth,long,200,exponential,231,3,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
growth,long,200,exponential,232,4,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
growth,long,200,exponential,233,5,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
growth,long,200,exponential,234,6,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
growth,long,200,exponential,235,7,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
growth,long,200,exponential,236,8,,Assertion on 'stan_file' failed: File does not exist: '/home/seabbs/Dropbox/academic/projects/dynamicaltruncation/data/models/dynamical_and_censoring_adjusted_real_time_incidence.stan'.
